+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 12  | 3.{\rm Suz}           | 2         | z3                         | 0   |
| 12  | 6.{\rm Suz}           | ! 2,3     | z3                         | 0   |
| 13  | A_{7}                 | 3,5       |                            | 1   |
| 13  | A_{8}                 | 3,5       |                            | 1   |
| 13  | {\rm PSL}_{3}(3)      | 0,13      |                            | 1   |
| 13  | {\rm PSU}_{3}(4)      | ! 2,5     | z5                         | -1  |
| 13  | {\rm PSp}_{4}(5)      | ! 2,5     | b5                         | 1   |
| 13  | {\rm PSp}_{6}(3)      | ! 3       | z3                         | 0   |
| 13  | {\rm J}_2             | 3         | b5                         | 1   |
| 14  | A_{7}                 | ! 3,5     |                            | 1   |
| 14  | 2.A_{7}               | ! 2,3     | r2                         | -1  |
| 14  | A_{8}                 | 0,7       |                            | 1   |
| 14  | {\rm PSU}_{3}(3)      | ! 3       |                            | 1   |
| 14  | {\rm PSp}_{6}(2)      | 3         |                            | 1   |
| 14  | 2.{\rm PSp}_{6}(3)    | ! 2,3     | z3                         | 0   |
| 14  | Sz(8)                 | ! 2       | i1                         | 0   |
| 14  | G_{2}(3)              | ! 3       |                            | 1   |
| 14  | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 14  | {\rm J}_2             | 5         |                            | 1   |
| 14  | {\rm J}_2             | ! 3,5     | b5                         | 1   |
| 14  | 2.{\rm J}_2           | ! 2       |                            | -1  |
| 15  | 3.A_{6}               | 0,5       | z3                         | 0   |
| 15  | A_{7}                 | ! 2,7     |                            | 1   |
| 15  | 3.A_{7}               | ! 3       | z3                         | 0   |
| 15  | {\rm PSL}_{3}(4)      | 3         |                            | 1   |
| 15  | 3.{\rm PSL}_{3}(4)    | ! 2,3     | z3                         | 0   |
| 15  | {\rm PSU}_{4}(2)      | 0,5       |                            | 1   |
| 15  | 3_1.{\rm PSU}_{4}(3)  | ! 3       | z3                         | 0   |
| 15  | {\rm PSp}_{6}(2)      | ! 2,3     |                            | 1   |
| 15  | {\rm M}_{12}          | 3         | b11                        | 0   |
| 15  | 3.{\rm M}_{22}        | 2         | z3, b11                    | 0   |
| 16  | 2.A_{7}               | 7         |                            | -1  |
| 16  | 2.A_{8}               | 7         |                            | -1  |
| 16  | A_{10}                | 2         |                            | 1   |
| 16  | 2.A_{10}              | ! 2,5     |                            | 1   |
| 16  | A_{11}                | 2         | b11                        | 0   |
| 16  | 2.A_{11}              | 11        |                            | 1   |
| 16  | 2.A_{11}              | ! 2,11    | b11                        | 0   |
| 16  | A_{12}                | 2         | z3                         | 0   |
| 16  | 2.A_{12}              | 3         | i2, i5, r7, b11            | 0   |
| 16  | {\rm PSL}_{3}(3)      | 0,2       | d13                        | 0   |
| 16  | {\rm PSL}_{3}(3)      | 13        |                            | 1   |
| 16  | 4_2.{\rm PSL}_{3}(4)  | 3         | i1, r7                     | 0   |
| 16  | 2.Sz(8)               | 13        | y7                         | 1   |
| 16  | {\rm M}_{11}          | 11        |                            | 1   |
| 16  | {\rm M}_{11}          | ! 3,11    | b11                        | -1  |
| 16  | {\rm M}_{12}          | 11        |                            | 1   |
| 16  | {\rm M}_{12}          | ! 3,11    | b11                        | 0   |
| 16  | 4.{\rm M}_{22}        | 7         | i1, r11                    | 0   |
| 18  | 3.A_{7}               | 5         | z3, b7                     | 0   |
| 18  | {\rm PSp}_{4}(4)      | ! 2       |                            | 1   |
| 18  | {\rm J}_3             | 3         | b5                         | 1   |
| 18  | 3.{\rm J}_3           | 5         | z3                         | 0   |
| 18  | 3.{\rm J}_3           | ! 3,5     | z3, b5                     | 0   |
| 19  | A_{8}                 | 7         |                            | 1   |
| 19  | A_{9}                 | 7         |                            | 1   |
| 19  | {\rm PSL}_{3}(4)      | 3, 7      |                            | 1   |
| 20  | A_{7}                 | 2         |                            | -1  |
| 20  | 2.A_{7}               | ! 2,3     |                            | -1  |
| 20  | A_{8}                 | 0,5       |                            | 1   |
| 20  | A_{9}                 | 2         | i15                        | -1  |
| 20  | {\rm PSL}_{3}(4)      | 0,5       |                            | 1   |
| 20  | 4_2.{\rm PSL}_{3}(4)  | ! 2,3     | i1                         | 0   |
| 20  | {\rm PSU}_{3}(5)      | ! 5       |                            | -1  |
| 20  | {\rm PSU}_{4}(2)      | 0,5       |                            | 1   |
| 20  | 2.{\rm PSU}_{4}(2)    | 0,5       |                            | -1  |
| 20  | 2.{\rm PSU}_{4}(2)    | 0,5       | z3                         | 0   |
| 20  | {\rm PSU}_{4}(3)      | 2         |                            | 1   |
| 20  | 2.{\rm PSU}_{4}(3)    | ! 2,3     |                            | -1  |
| 20  | 4.{\rm PSU}_{4}(3)    | ! 2,3     | i1                         | 0   |
| 20  | {\rm M}_{22}          | 11        |                            | 1   |
| 20  | {\rm J}_1             | 2         |                            | 1   |
| 20  | {\rm HS}              | 2         |                            | -1  |
| 21  | A_{7}                 | 0,7       |                            | 1   |
| 21  | 3.A_{7}               | ! 2,3     | z3                         | 0   |
| 21  | A_{8}                 | 0,7       | i15                        | 0   |
